 	Area	X	Y	Slice
200	185	399.630	102.976	9
201	173	68.864	117.720	9
202	142	604.085	119.458	9
203	169	511.962	159.358	9
204	246	566.293	172.394	9
205	169	148.216	185.500	9
206	192	304.667	201.531	9
207	183	111.697	207.014	9
208	179	392.668	227.489	9
209	149	184.648	251.856	9
210	151	378.606	255.778	9
211	163	614.850	256.132	9
212	152	318.237	269.789	9
213	146	115.473	280.801	9
214	183	528.462	285.407	9
215	200	491.110	357.240	9
216	178	303.983	360.584	9
217	170	411.659	365.841	9
218	144	183.167	366.667	9
219	164	597.104	385.262	9
220	164	107.689	398.835	9
221	174	212.638	65.828	10
222	280	494.793	77.643	10
223	212	291.118	79.594	10
224	190	399.484	102.837	10
225	173	68.864	117.720	10
226	142	604.085	119.458	10
227	169	511.962	159.358	10
228	265	566.206	172.281	10
229	169	148.216	185.500	10
230	213	304.500	202.101	10
231	191	111.798	207.280	10
232	256	393.938	227.645	10
233	180	184.667	252.000	10
234	151	378.606	255.778	10
235	166	614.898	256.247	10
236	152	318.237	269.789	10
237	170	115.141	280.453	10
238	195	528.900	285.259	10
239	204	491.176	357.353	10
240	187	304.152	360.329	10
241	170	411.659	365.841	10
242	144	183.167	366.667	10
243	164	597.104	385.262	10
244	170	107.453	398.859	10
245	174	212.638	65.828	11
246	280	494.793	77.643	11
247	212	291.118	79.594	11
248	190	399.484	102.837	11
249	171	68.389	117.716	11
250	142	604.085	119.458	11
251	169	511.962	159.358	11
252	265	566.206	172.281	11
253	169	148.216	185.500	11
254	213	304.500	202.101	11
255	191	111.798	207.280	11
256	205	392.217	228.285	11
257	180	184.667	252.000	11
258	151	378.606	255.778	11
259	166	614.898	256.247	11
260	152	318.237	269.789	11
261	170	115.141	280.453	11
262	195	528.900	285.259	11
263	204	491.176	357.353	11
264	187	304.152	360.329	11
265	170	411.659	365.841	11
266	144	183.167	366.667	11
267	164	597.104	385.262	11
268	170	107.453	398.859	11
269	174	212.638	65.828	12
270	280	494.793	77.643	12
271	212	291.118	79.594	12
272	190	399.484	102.837	12
273	177	68.297	117.257	12
274	142	604.085	119.458	12
275	169	511.962	159.358	12
276	265	566.206	172.281	12
277	169	148.216	185.500	12
278	213	304.500	202.101	12
279	191	111.798	207.280	12
280	205	392.217	228.285	12
281	180	184.667	252.000	12
282	151	378.606	255.778	12
283	166	614.898	256.247	12
284	152	318.237	269.789	12
285	170	115.141	280.453	12
286	195	528.900	285.259	12
287	204	491.176	357.353	12
288	187	304.152	360.329	12
289	170	411.659	365.841	12
290	144	183.167	366.667	12
291	164	597.104	385.262	12
292	170	107.453	398.859	12
293	174	212.638	65.828	13
294	280	494.793	77.643	13
295	212	291.118	79.594	13
296	190	399.484	102.837	13
297	177	68.297	117.257	13
298	142	604.085	119.458	13
299	174	512.172	159.362	13
300	265	566.206	172.281	13
301	169	148.216	185.500	13
302	213	304.500	202.101	13
303	191	111.798	207.280	13
304	205	392.217	228.285	13
305	180	184.667	252.000	13
306	151	378.606	255.778	13
307	166	614.898	256.247	13
308	152	318.237	269.789	13
309	170	115.141	280.453	13
310	195	528.900	285.259	13
311	204	491.176	357.353	13
312	182	304.115	360.538	13
313	170	411.659	365.841	13
314	144	183.167	366.667	13
315	164	597.104	385.262	13
316	170	107.453	398.859	13
317	174	212.638	65.828	14
318	280	494.793	77.643	14
319	212	291.118	79.594	14
320	190	399.484	102.837	14
321	177	68.297	117.257	14
322	142	604.085	119.458	14
323	177	512.229	159.263	14
324	265	566.206	172.281	14
325	169	148.216	185.500	14
326	213	304.500	202.101	14
327	171	112.295	207.775	14
328	205	392.217	228.285	14
329	180	184.667	252.000	14
330	151	378.606	255.778	14
331	166	614.898	256.247	14
332	152	318.237	269.789	14
333	170	115.141	280.453	14
334	195	528.900	285.259	14
335	204	491.176	357.353	14
336	191	304.275	360.270	14
337	170	411.659	365.841	14
338	144	183.167	366.667	14
339	164	597.104	385.262	14
340	170	107.453	398.859	14
341	174	212.638	65.828	15
342	261	494.305	77.653	15
343	186	291.565	79.290	15
344	202	399.040	102.728	15
345	165	68.548	117.579	15
346	142	604.085	119.458	15
347	159	512.670	159.349	15
348	244	566.348	172.365	15
349	169	148.216	185.500	15
350	192	304.667	201.531	15
351	171	112.295	207.775	15
352	158	392.329	227.639	15
353	149	184.648	251.856	15
354	151	378.606	255.778	15
355	163	614.850	256.132	15
356	144	318.000	270.000	15
357	146	115.473	280.801	15
358	188	528.670	285.383	15
359	172	492.000	357.000	15
360	205	304.495	361.378	15
361	170	411.659	365.841	15
362	144	183.167	366.667	15
363	164	597.104	385.262	15
364	164	107.689	398.835	15
365	166	212.753	66.102	16
366	256	494.379	77.520	16
367	200	291.320	79.760	16
368	216	398.477	102.616	16
369	174	68.057	117.374	16
370	117	603.833	119.167	16
371	158	512.671	159.639	16
372	241	566.421	172.459	16
373	165	148.500	185.500	16
374	183	304.505	201.702	16
375	164	112.738	207.927	16
376	173	392.829	227.627	16
377	174	184.828	251.845	16
378	174	379.454	256.138	16
379	156	615.615	256.231	16
380	144	318.000	270.000	16
381	142	115.458	280.627	16
382	156	529.224	284.910	16
383	228	490.842	357.509	16
384	205	304.856	362.427	16
385	193	412.298	365.199	16
386	149	183.326	366.513	16
387	161	596.370	385.252	16
388	171	107.939	398.746	16
389	166	212.753	66.102	17
390	261	494.305	77.653	17
391	200	291.320	79.760	17
392	216	398.477	102.616	17
393	174	68.057	117.374	17
394	121	603.640	119.178	17
395	158	512.671	159.639	17
396	241	566.421	172.459	17
397	162	148.444	185.389	17
398	183	304.505	201.702	17
399	164	112.738	207.927	17
400	173	392.829	227.627	17
401	174	184.828	251.845	17
402	187	379.013	255.880	17
403	156	615.615	256.231	17
404	144	318.000	270.000	17
405	142	115.458	280.627	17
406	156	529.224	284.910	17
407	222	491.000	357.365	17
408	207	304.790	362.379	17
409	193	412.298	365.199	17
410	144	183.167	366.667	17
411	161	596.370	385.252	17
412	171	107.939	398.746	17
413	214	213.009	67.168	18
414	280	494.793	77.643	18
415	234	290.624	80.068	18
416	233	397.981	102.607	18
417	176	68.108	117.449	18
418	158	604.500	119.000	18
419	179	512.332	159.489	18
420	254	566.157	172.524	18
421	165	148.500	185.500	18
422	200	304.615	201.420	18
423	174	112.420	207.753	18
424	211	393.661	227.491	18
425	181	184.599	251.732	18
426	192	379.167	256.021	18
427	174	615.172	256.362	18
428	147	318.112	269.949	18
429	154	115.234	280.922	18
430	175	528.791	285.014	18
431	245	490.345	357.508	18
432	226	304.748	362.381	18
433	251	412.432	364.687	18
434	151	183.394	366.778	18
435	167	596.213	385.404	18
436	177	107.703	398.771	18
437	214	213.009	67.168	19
438	280	494.793	77.643	19
439	234	290.624	80.068	19
440	233	397.981	102.607	19
441	176	68.108	117.449	19
442	158	604.500	119.000	19
443	179	512.332	159.489	19
444	251	566.189	172.620	19
445	165	148.500	185.500	19
446	200	304.615	201.420	19
447	174	112.420	207.753	19
448	211	393.661	227.491	19
449	181	184.599	251.732	19
450	192	379.167	256.021	19
451	174	615.172	256.362	19
452	147	318.112	269.949	19
453	154	115.234	280.922	19
454	175	528.791	285.014	19
455	245	490.345	357.508	19
456	226	304.748	362.381	19
457	251	412.432	364.687	19
458	151	183.394	366.778	19
459	167	596.213	385.404	19
460	177	107.703	398.771	19
461	214	213.009	67.168	20
462	280	494.793	77.643	20
463	234	290.624	80.068	20
464	233	397.981	102.607	20
465	176	68.108	117.449	20
466	158	604.500	119.000	20
467	179	512.332	159.489	20
